,epoch,elapsed_time,MSE_f_train,MSE_f,RMSE_u,lr,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,config/L,config/N,config/activation,config/batch_size,config/lr,config/lr_scheduler,config/num_points,logdir,should_checkpoint
0,2.0,1.3869664669036863,1209.3184521972655,1203.8864,0.1766888202716413,0.000475,2.157876491546631,False,,,2,df442a14,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-37-22,1686843442,3.707172393798828,64306,ds28,192.168.3.128,3.707172393798828,0,2,0.0051391124725341,2,1408,tanh,128,0.0005,ExponentialLR-0.95,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_df442a14_1_L=2,N=1408,activation=tanh,batch_size=128,lr=0.0005,lr_scheduler=ExponentialLR-0_95,num_points=10000_2023-06-15_18-37-15",
1,20.0,3.081905603408813,1209.3112859375,1203.8609,0.1766713229351505,0.0046791846714378,0.8294148445129395,False,,,20,02c702b6,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_19-01-21,1686844881,5.573568344116211,64306,ds28,192.168.3.128,4.168238162994385,0,9,0.0051391124725341,3,384,tanh,1088,0.0124,ExponentialLR-0.95,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_02c702b6_2_L=3,N=384,activation=tanh,batch_size=1088,lr=0.0124,lr_scheduler=ExponentialLR-0_95,num_points=10000_2023-06-15_18-37-23",
2,1.0,2.760279655456543,1205.38989875,1217.69199,0.1776829020589264,0.0047,3.235549211502075,False,,,1,dc19b664,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-37-27,1686843447,3.235549211502075,64306,ds28,192.168.3.128,3.235549211502075,0,1,0.0051391124725341,2,96,sigmoid,192,0.0047,None,100000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_dc19b664_3_L=2,N=96,activation=sigmoid,batch_size=192,lr=0.0047,lr_scheduler=None,num_points=100000_2023-06-15_18-37-24",True
3,10.0,3.0259196758270264,1209.308285546875,1203.8626,0.1766718756909436,0.0002520997638898,0.2852213382720947,False,,,10,3060819c,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_19-01-24,1686844884,3.921810388565064,64306,ds28,192.168.3.128,2.449605941772461,0,5,0.0051391124725341,1,192,sigmoid,192,0.0004,ExponentialLR-0.95,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_3060819c_4_L=1,N=192,activation=sigmoid,batch_size=192,lr=0.0004,lr_scheduler=ExponentialLR-0_95,num_points=10000_2023-06-15_18-37-28",
4,1.0,19.822051525115967,1219.8107215,1555.340934,0.1770185177701613,0.0287,20.95393776893616,False,,,1,5ba20f73,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-37-50,1686843470,20.95393776893616,64306,ds28,192.168.3.128,20.95393776893616,0,1,0.0051391124725341,2,1600,sin,7840,0.0287,ReduceLROnPlateau-0.5-2,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_5ba20f73_5_L=2,N=1600,activation=sin,batch_size=7840,lr=0.0287,lr_scheduler=ReduceLROnPlateau-0_5-2,num_points=1000000_2023-06-15_18-37-29",True
5,1.0,4.390415191650391,1205.44221,1217.69064,0.1776824151383981,0.0023,5.514522075653076,False,,,1,36936a3a,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-37-56,1686843476,5.514522075653076,64306,ds28,192.168.3.128,5.514522075653076,0,1,0.0051391124725341,4,1376,ELU,10624,0.0023,ExponentialLR-0.95,100000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_36936a3a_6_L=4,N=1376,activation=ELU,batch_size=10624,lr=0.0023,lr_scheduler=ExponentialLR-0_95,num_points=100000_2023-06-15_18-37-50",True
6,2.0,1.781646966934204,1205.38774,1217.69181,0.1776829690425983,0.0056,1.335785150527954,False,,,2,d61e2b83,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-37-58,1686843478,2.2296619415283203,64306,ds28,192.168.3.128,2.2296619415283203,0,2,0.0051391124725341,3,544,ELU,27552,0.005600000000000001,ReduceLROnPlateau-0.1-10,100000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_d61e2b83_7_L=3,N=544,activation=ELU,batch_size=27552,lr=0.0056,lr_scheduler=ReduceLROnPlateau-0_1-10,num_points=100000_2023-06-15_18-37-56",
7,2.0,1.5442655086517334,1205.355819,1208.299561,0.176995940167263,0.0047,1.9909610748291016,False,,,2,fac2c2d1,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-38-01,1686843481,2.7673418521881104,64306,ds28,192.168.3.128,2.7673418521881104,0,2,0.0051391124725341,1,128,sin,13952,0.0047,None,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_fac2c2d1_8_L=1,N=128,activation=sin,batch_size=13952,lr=0.0047,lr_scheduler=None,num_points=1000000_2023-06-15_18-37-59",
8,19.0,1.0404422283172607,1210.641275,1204.8696,0.177808552515497,0.00876875,0.573413610458374,False,,,19,3c8214fe,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-38-03,1686843483,1.567147731781006,64306,ds28,192.168.3.128,1.567147731781006,0,19,0.0051391124725341,2,256,ELU,2464,0.2806,ReduceLROnPlateau-0.5-2,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_3c8214fe_9_L=2,N=256,activation=ELU,batch_size=2464,lr=0.2806,lr_scheduler=ReduceLROnPlateau-0_5-2,num_points=10000_2023-06-15_18-38-01",
9,1.0,8.314472675323486,1205.35941409375,1208.299642,0.1769960130145503,0.014,8.794009923934937,False,,,1,d8557e82,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-38-12,1686843492,8.794009923934937,64306,ds28,192.168.3.128,8.794009923934937,0,1,0.0051391124725341,4,352,sigmoid,1312,0.014,ReduceLROnPlateau-0.5-2,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_d8557e82_10_L=4,N=352,activation=sigmoid,batch_size=1312,lr=0.0140,lr_scheduler=ReduceLROnPlateau-0_5-2,num_points=10000_2023-06-15_18-38-03",True
10,3.0,1.3506343364715576,1209.379724609375,1203.908,0.1767007547756411,0.0149814999999999,1.017535924911499,False,,,3,b0833531,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-38-14,1686843494,1.9248883724212649,64306,ds28,192.168.3.128,1.9248883724212649,0,3,0.0051391124725341,2,544,tanh,128,0.0166,ExponentialLR-0.95,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_b0833531_11_L=2,N=544,activation=tanh,batch_size=128,lr=0.0166,lr_scheduler=ExponentialLR-0_95,num_points=10000_2023-06-15_18-38-12",
11,1.0,3.3919520378112797,1205.42229,1217.69835,0.1776950428663595,0.019,4.553921699523926,False,,,1,7eeebf2e,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-38-19,1686843499,4.553921699523926,64306,ds28,192.168.3.128,4.553921699523926,0,1,0.0051391124725341,3,1568,sigmoid,11680,0.019,None,100000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_7eeebf2e_12_L=3,N=1568,activation=sigmoid,batch_size=11680,lr=0.0190,lr_scheduler=None,num_points=100000_2023-06-15_18-38-14",True
12,1.0,3.362621784210205,17205.05691390625,1289.62308,0.1776823009222785,0.1036,5.782263994216919,False,,,1,52cdf20f,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-38-25,1686843505,5.782263994216919,64306,ds28,192.168.3.128,5.782263994216919,0,1,0.0051391124725341,3,64,sin,192,0.10360000000000001,ReduceLROnPlateau-0.1-10,100000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_52cdf20f_13_L=3,N=64,activation=sin,batch_size=192,lr=0.1036,lr_scheduler=ReduceLROnPlateau-0_1-10,num_points=100000_2023-06-15_18-38-19",True
13,1.0,9.0641131401062,1205.36742175,1208.299777,0.1769963944924587,0.0315,9.5778968334198,False,,,1,e3e7a85e,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-38-36,1686843516,9.5778968334198,64306,ds28,192.168.3.128,9.5778968334198,0,1,0.0051391124725341,3,384,atan,1632,0.03150000000000001,ExponentialLR-0.95,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_e3e7a85e_14_L=3,N=384,activation=atan,batch_size=1632,lr=0.0315,lr_scheduler=ExponentialLR-0_95,num_points=1000000_2023-06-15_18-38-26",True
14,1.0,5.809613227844238,1205.358885125,1208.299606,0.1769959586161646,0.06,6.297844648361206,False,,,1,6b71d353,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-38-42,1686843522,6.297844648361206,64306,ds28,192.168.3.128,6.297844648361206,0,1,0.0051391124725341,1,800,atan,1632,0.060000000000000005,ExponentialLR-0.95,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_6b71d353_15_L=1,N=800,activation=atan,batch_size=1632,lr=0.0600,lr_scheduler=ExponentialLR-0_95,num_points=1000000_2023-06-15_18-38-36",True
15,16.0,1.0001254081726074,1209.3476375,1204.0908,0.1768594881945922,0.3373,0.6329100131988525,False,,,16,47eace5a,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-38-44,1686843524,1.5804574489593506,64306,ds28,192.168.3.128,1.5804574489593506,0,16,0.0051391124725341,2,544,sigmoid,4480,0.3373,None,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_47eace5a_16_L=2,N=544,activation=sigmoid,batch_size=4480,lr=0.3373,lr_scheduler=None,num_points=10000_2023-06-15_18-38-43",
16,13.0,1.325798273086548,1209.2976,1203.9129,0.1767044075054041,0.0044309527188336,2.1525309085845947,False,,,13,ece99872,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-38-47,1686843527,2.935859680175781,64306,ds28,192.168.3.128,2.935859680175781,0,13,0.0051391124725341,4,320,sigmoid,21664,0.008199999999999999,ExponentialLR-0.95,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_ece99872_17_L=4,N=320,activation=sigmoid,batch_size=21664,lr=0.0082,lr_scheduler=ExponentialLR-0_95,num_points=10000_2023-06-15_18-38-44",
17,1.0,11.504398822784424,1205.3320354375,1208.160645,0.1769870455036838,0.0042,11.993916988372805,False,,,1,d6ee25dd,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-39-00,1686843540,11.993916988372805,64306,ds28,192.168.3.128,11.993916988372805,0,1,0.0051391124725341,1,416,ELU,416,0.004200000000000001,ReduceLROnPlateau-0.1-10,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_d6ee25dd_18_L=1,N=416,activation=ELU,batch_size=416,lr=0.0042,lr_scheduler=ReduceLROnPlateau-0_1-10,num_points=1000000_2023-06-15_18-38-48",True
18,1.0,1.4272778034210205,1205.3978746875,1217.69121,0.1776824941449943,0.0118,2.161123752593994,False,,,1,7209fe7d,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-39-02,1686843542,2.161123752593994,64306,ds28,192.168.3.128,2.161123752593994,0,1,0.0051391124725341,4,352,sigmoid,576,0.0118,ReduceLROnPlateau-0.1-10,100000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_7209fe7d_19_L=4,N=352,activation=sigmoid,batch_size=576,lr=0.0118,lr_scheduler=ReduceLROnPlateau-0_1-10,num_points=10000_2023-06-15_18-39-00",True
19,1.0,1.2718441486358645,1205.38809875,1217.69162,0.1776826976726943,0.0009,1.7784430980682373,False,,,1,72c1ba3a,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-39-04,1686843544,1.7784430980682373,64306,ds28,192.168.3.128,1.7784430980682373,0,1,0.0051391124725341,2,224,sigmoid,448,0.0009000000000000001,ReduceLROnPlateau-0.1-10,100000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_72c1ba3a_20_L=2,N=224,activation=sigmoid,batch_size=448,lr=0.0009,lr_scheduler=ReduceLROnPlateau-0_1-10,num_points=10000_2023-06-15_18-39-02",True
20,1.0,3.3256189823150635,1205.41575121875,1208.30279,0.1769961752613002,0.4729,3.8093976974487305,False,,,1,d557ff3a,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-39-08,1686843548,3.8093976974487305,64306,ds28,192.168.3.128,3.8093976974487305,0,1,0.0051391124725341,1,992,sigmoid,7872,0.4729,None,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_d557ff3a_21_L=1,N=992,activation=sigmoid,batch_size=7872,lr=0.4729,lr_scheduler=None,num_points=1000000_2023-06-15_18-39-04",True
21,6.0,3.080865859985352,1209.3087565429687,1203.8627,0.1766719447852962,0.0006190247499999,0.7044401168823242,False,,,6,c2e91694,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_19-01-27,1686844887,3.9663338661193848,64306,ds28,192.168.3.128,2.2983312606811523,0,3,0.0051391124725341,1,192,sigmoid,96,0.0008,ExponentialLR-0.95,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_c2e91694_22_L=1,N=192,activation=sigmoid,batch_size=96,lr=0.0008,lr_scheduler=ExponentialLR-0_95,num_points=10000_2023-06-15_18-39-08",
22,5.0,31.95964097976685,799.27977015625,701.13862,0.1321806234821166,0.0009,7.492928743362427,False,,,5,dcdad405,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_19-12-11,1686845531,37.27354335784912,64306,ds28,192.168.3.128,21.96316695213318,0,3,0.0051391124725341,2,1376,sin,96,0.0009000000000000001,ReduceLROnPlateau-0.5-2,100000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_dcdad405_23_L=2,N=1376,activation=sin,batch_size=96,lr=0.0009,lr_scheduler=ReduceLROnPlateau-0_5-2,num_points=100000_2023-06-15_18-39-10",True
23,1.0,126.23324370384216,1205.510610363281,1204.966778,0.1769219912594557,0.0007,126.93251776695251,False,,,1,2e1b742a,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-41-25,1686843685,126.93251776695251,64306,ds28,192.168.3.128,126.93251776695251,0,1,0.0051391124725341,4,800,ELU,64,0.0007000000000000001,ExponentialLR-0.95,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_2e1b742a_24_L=4,N=800,activation=ELU,batch_size=64,lr=0.0007,lr_scheduler=ExponentialLR-0_95,num_points=1000000_2023-06-15_18-39-18",True
24,13.0,3.086883544921875,1209.314178125,1203.8559,0.1766696646573945,0.0018,0.2187569141387939,False,,,13,fb553a67,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_19-01-31,1686844891,4.406603813171387,64306,ds28,192.168.3.128,2.631718873977661,0,7,0.0051391124725341,3,352,sigmoid,448,0.0018000000000000002,None,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_fb553a67_25_L=3,N=352,activation=sigmoid,batch_size=448,lr=0.0018,lr_scheduler=None,num_points=10000_2023-06-15_18-41-25",
25,12.0,3.1637837886810303,1209.3100671875,1203.8598,0.1766708910934838,0.0002275200369105,0.896888017654419,False,,,12,6e5d8cb1,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_19-01-34,1686844894,4.342255115509033,64306,ds28,192.168.3.128,2.8594415187835693,0,6,0.0051391124725341,2,224,sigmoid,352,0.0004,ExponentialLR-0.95,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_6e5d8cb1_26_L=2,N=224,activation=sigmoid,batch_size=352,lr=0.0004,lr_scheduler=ExponentialLR-0_95,num_points=10000_2023-06-15_18-41-27",
26,3.0,1.2931890487670898,1209.305031201172,1203.8932,0.1766900638465824,0.00406125,1.1730804443359375,False,,,3,bd5e11ff,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-41-31,1686843691,2.0603227615356445,64306,ds28,192.168.3.128,2.0603227615356445,0,3,0.0051391124725341,4,320,sigmoid,192,0.0045000000000000005,ExponentialLR-0.95,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_bd5e11ff_27_L=4,N=320,activation=sigmoid,batch_size=192,lr=0.0045,lr_scheduler=ExponentialLR-0_95,num_points=10000_2023-06-15_18-41-29",
27,14.0,3.0423173904418945,1209.311540625,1203.858,0.1766702692396293,0.0001026684166559,0.3204400539398193,False,,,14,97c9cc1b,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_19-01-38,1686844898,4.176531076431274,64306,ds28,192.168.3.128,2.748147964477539,0,7,0.0051391124725341,1,64,sigmoid,512,0.0002,ExponentialLR-0.95,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_97c9cc1b_28_L=1,N=64,activation=sigmoid,batch_size=512,lr=0.0002,lr_scheduler=ExponentialLR-0_95,num_points=10000_2023-06-15_18-41-35",
28,11.0,3.040756940841675,1209.30805625,1203.8625,0.1766719793324623,0.0001796210817715,0.4891893863677978,False,,,11,341b1d82,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_19-01-41,1686844901,3.934452533721924,64306,ds28,192.168.3.128,2.4670205116271973,0,6,0.0051391124725341,2,192,sigmoid,288,0.00030000000000000003,ExponentialLR-0.95,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_341b1d82_29_L=2,N=192,activation=sigmoid,batch_size=288,lr=0.0003,lr_scheduler=ExponentialLR-0_95,num_points=10000_2023-06-15_18-41-36",
29,20.0,3.2113280296325684,1209.32156875,1203.8504,0.1766688873343383,0.00011,1.3950128555297852,False,,,20,fa461b93,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_19-01-45,1686844905,5.408410549163818,64306,ds28,192.168.3.128,3.9785218238830566,0,11,0.0051391124725341,3,160,sigmoid,704,0.0011,ReduceLROnPlateau-0.1-10,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_fa461b93_30_L=3,N=160,activation=sigmoid,batch_size=704,lr=0.0011,lr_scheduler=ReduceLROnPlateau-0_1-10,num_points=10000_2023-06-15_18-41-38",
30,8.0,3.040213823318481,1209.303659375,1203.8742,0.1766779040715317,0.0019553444290624,0.6158990859985352,False,,,8,e02062ff,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_19-01-48,1686844908,4.105746507644653,64306,ds28,192.168.3.128,2.439842700958252,0,4,0.0051391124725341,3,224,sigmoid,224,0.0028,ExponentialLR-0.95,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_e02062ff_31_L=3,N=224,activation=sigmoid,batch_size=224,lr=0.0028,lr_scheduler=ExponentialLR-0_95,num_points=10000_2023-06-15_18-41-39",
31,27.0,3.1259822845458984,1209.30495,1203.8666,0.176673905326288,0.0005006881794849,0.1972894668579101,False,,,27,4c157a23,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_19-01-52,1686844912,4.683814764022827,64306,ds28,192.168.3.128,3.254412651062012,0,9,0.0051391124725341,4,64,sigmoid,2080,0.0019000000000000002,ExponentialLR-0.95,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_4c157a23_32_L=4,N=64,activation=sigmoid,batch_size=2080,lr=0.0019,lr_scheduler=ExponentialLR-0_95,num_points=10000_2023-06-15_18-41-41",
32,10.0,3.258483648300171,1209.31045,1203.8594,0.1766707356302254,0.0002,0.8845815658569336,False,,,10,3756c442,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_19-01-56,1686844916,4.8653244972229,64306,ds28,192.168.3.128,3.407299518585205,0,6,0.0051391124725341,2,96,sigmoid,224,0.0002,ReduceLROnPlateau-0.1-10,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_3756c442_33_L=2,N=96,activation=sigmoid,batch_size=224,lr=0.0002,lr_scheduler=ReduceLROnPlateau-0_1-10,num_points=10000_2023-06-15_18-41-43",
33,130.0,219.65803170204163,2.0308277758789064,2.325585748046875,0.0048852166383647,0.00271,2.2855138778686523,True,,,130,7017898c,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_19-22-32,1686846152,286.57498049736023,64306,ds28,192.168.3.128,179.4980661869049,0,82,0.0051391124725341,3,64,sin,6208,0.0271,ReduceLROnPlateau-0.1-10,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_7017898c_34_L=3,N=64,activation=sin,batch_size=6208,lr=0.0271,lr_scheduler=ReduceLROnPlateau-0_1-10,num_points=1000000_2023-06-15_18-41-45",True
34,1.0,1.4830381870269775,4.280293222724882e+16,1.0485900572932696e+18,0.17770475457163,0.2908,2.116936683654785,False,,,1,8ed2f339,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-41-49,1686843709,2.116936683654785,64306,ds28,192.168.3.128,2.116936683654785,0,1,0.0051391124725341,4,672,sin,2528,0.2908,ExponentialLR-0.95,100000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_8ed2f339_35_L=4,N=672,activation=sin,batch_size=2528,lr=0.2908,lr_scheduler=ExponentialLR-0_95,num_points=100000_2023-06-15_18-41-47",True
35,6.0,1.0438683032989502,1205.38701125,1217.69457,0.1776848918067239,0.0010832933124999,0.5395784378051758,False,,,6,db999a02,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-41-51,1686843711,1.4148483276367188,64306,ds28,192.168.3.128,1.4148483276367188,0,6,0.0051391124725341,2,96,tanh,4320,0.0014000000000000002,ExponentialLR-0.95,100000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_db999a02_36_L=2,N=96,activation=tanh,batch_size=4320,lr=0.0014,lr_scheduler=ExponentialLR-0_95,num_points=100000_2023-06-15_18-41-49",
36,1.0,8.37031865119934,1205.4131120625,1208.31152,0.1770103883442638,0.1034,8.8488130569458,False,,,1,41523277,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-42-00,1686843720,8.8488130569458,64306,ds28,192.168.3.128,8.8488130569458,0,1,0.0051391124725341,3,224,tanh,832,0.1034,None,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_41523277_37_L=3,N=224,activation=tanh,batch_size=832,lr=0.1034,lr_scheduler=None,num_points=1000000_2023-06-15_18-41-51",True
37,10.0,3.024193286895752,1209.3034798828126,1203.8646,0.176674501257344,0.0002,0.2884993553161621,False,,,10,4c887dad,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_19-02-05,1686844925,4.195620775222778,64306,ds28,192.168.3.128,2.7880635261535645,0,6,0.0051391124725341,2,128,tanh,256,0.0002,None,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_4c887dad_38_L=2,N=128,activation=tanh,batch_size=256,lr=0.0002,lr_scheduler=None,num_points=10000_2023-06-15_18-42-00",
38,29.0,1.000678300857544,1209.41865,1204.1865,0.1769501672628086,0.0756,0.6148064136505127,False,,,29,d77fbf2e,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-42-03,1686843723,1.5867609977722168,64306,ds28,192.168.3.128,1.5867609977722168,0,29,0.0051391124725341,3,64,tanh,8160,0.0756,None,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_d77fbf2e_39_L=3,N=64,activation=tanh,batch_size=8160,lr=0.0756,lr_scheduler=None,num_points=10000_2023-06-15_18-42-02",
39,1.0,1.3600664138793943,1205.3558635,1208.299513,0.1769959251667528,0.0067,2.882542610168457,False,,,1,683067d6,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-42-06,1686843726,2.882542610168457,64306,ds28,192.168.3.128,2.882542610168457,0,1,0.0051391124725341,3,64,sigmoid,8096,0.0067,None,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_683067d6_40_L=3,N=64,activation=sigmoid,batch_size=8096,lr=0.0067,lr_scheduler=None,num_points=1000000_2023-06-15_18-42-03",True
40,11.0,3.1270463466644287,1209.307759375,1203.8633,0.1766723334405257,0.0003,0.2657983303070068,False,,,11,6c5ba804,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_19-02-08,1686844928,4.053455591201782,64306,ds28,192.168.3.128,2.502134323120117,0,6,0.0051391124725341,2,192,sigmoid,288,0.00030000000000000003,None,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_6c5ba804_41_L=2,N=192,activation=sigmoid,batch_size=288,lr=0.0003,lr_scheduler=None,num_points=10000_2023-06-15_18-42-07",
41,7.0,3.183149814605713,1209.31048359375,1203.8568,0.1766702346921288,0.0002,0.988105297088623,False,,,7,7ba3c0c4,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_19-02-11,1686844931,4.716379165649414,64306,ds28,192.168.3.128,3.238330364227295,0,4,0.0051391124725341,2,128,sin,160,0.0002,ReduceLROnPlateau-0.1-10,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_7ba3c0c4_42_L=2,N=128,activation=sin,batch_size=160,lr=0.0002,lr_scheduler=ReduceLROnPlateau-0_1-10,num_points=10000_2023-06-15_18-42-08",
42,1.0,3.3286263942718506,1204.805720125,1204.592918,0.1767254706254122,0.0207,3.853805541992188,False,,,1,85b056fd,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-42-14,1686843734,3.853805541992188,64306,ds28,192.168.3.128,3.853805541992188,0,1,0.0051391124725341,3,192,atan,27744,0.0207,None,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_85b056fd_43_L=3,N=192,activation=atan,batch_size=27744,lr=0.0207,lr_scheduler=None,num_points=1000000_2023-06-15_18-42-10",True
